address,bathrooms,bedrooms,buildYear,floorAreaSqm,id,isAgentVerified,isVerifiedListing,listingFeatures/0,listingFeatures/1,listingFeatures/2,listingFeatures/3,listingFeatures/4,listingFeatures/5,mrt/nearbyText,postedOn,price,pricePerAreaText,pricePerSqm,propertyType,psfText,recencyText,tenure,thumbnail,title,url,room_category,row_index,listing_id,final_url,page_title,verdict
451A Bukit Batok West Avenue 6,1,1,Built: 2018,38,60224822,FALSE,FALSE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2018,15 min (1.2 km) from NS2 Bukit Batok MRT Station,18 Mar 2026,415000,"S$ 1,014.67 psf","S$ 1,014.67 psf",For Sale,"S$ 1,014.67 psf","Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60224822/UPHO.158215091.V550/451A-Bukit-Batok-West-Avenue-6-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,451A Bukit Batok West Avenue 6,https://www.propertyguru.com.sg/listing/hdb-for-sale-451a-bukit-batok-west-avenue-6-60224822,1-room,0,60224822,https://www.propertyguru.com.sg/listing/hdb-for-sale-451a-bukit-batok-west-avenue-6-60224822,"451A Bukit Batok West Avenue 6 HDB Flat For Sale at S$ 400,000 | PropertyGuru Singapore",active_listing
76 Telok Blangah Drive,1,1,Built: 1977,44,500060411,FALSE,FALSE,1,1,475 sqft,HDB Flat,99-year Leasehold,Built: 1977,7 min (610 m) from CC28 Telok Blangah MRT Station,12 Mar 2026,328888,S$ 692.40 psf,S$ 692.40 psf,For Sale,S$ 692.40 psf,"Listed on Mar 12, 2026 (6d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500060411/UPHO.158664519.V550/76-Telok-Blangah-Drive-Harbourfront-Telok-Blangah-Singapore.jpg,76 Telok Blangah Drive,https://www.propertyguru.com.sg/listing/hdb-for-sale-76-telok-blangah-drive-500060411,1-room,1,500060411,https://www.propertyguru.com.sg/property-for-sale/at-76-telok-blangah-drive-11431,76 Telok Blangah Drive for Sale in Singapore,active_listing
14 Taman Ho Swee,1,1,Built: 1970,43,25428879,FALSE,FALSE,1,1,463 sqft,HDB Flat,99-year Leasehold,Built: 1970,4 min (350 m) from TE16 Havelock MRT Station,19 Mar 2026,328888,S$ 710.34 psf,S$ 710.34 psf,For Sale,S$ 710.34 psf,"Listed on Mar 19, 2026 (2h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/25428879/UPHO.152545926.V550/14-Taman-Ho-Swee-Alexandra-Commonwealth-Singapore.jpg,14 Taman Ho Swee,https://www.propertyguru.com.sg/listing/hdb-for-sale-14-taman-ho-swee-25428879,1-room,2,25428879,https://www.propertyguru.com.sg/listing/hdb-for-sale-14-taman-ho-swee-25428879,"14 Taman Ho Swee HDB Flat For Sale at S$ 328,888 | PropertyGuru Singapore",active_listing
468A Bukit Batok West Avenue 9,1,1,Built: 2021,47,500065029,FALSE,TRUE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2021,14 min (1.14 km) from NS3 Bukit Gombak MRT Station,19 Mar 2026,329999,S$ 652.17 psf,S$ 652.17 psf,For Sale,S$ 652.17 psf,"Listed on Mar 19, 2026 (5h ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500065029/UPHO.158735215.V550/468A-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,468A Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-468a-bukit-batok-west-avenue-9-500065029,1-room,3,500065029,https://www.propertyguru.com.sg/property-for-sale/at-468a-bukit-batok-west-avenue-9-25525,468A Bukit Batok West Avenue 9 for Sale in Singapore,active_listing
180D Rivervale Crescent,1,1,Built: 2013,47,60236988,FALSE,FALSE,1,1,505 sqft,HDB Flat,99-year Leasehold,Built: 2013,9 min (760 m) from SE2 Rumbia LRT Station,18 Mar 2026,400000,S$ 792.08 psf,S$ 792.08 psf,For Sale,S$ 792.08 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60236988/UPHO.158848943.V550/180D-Rivervale-Crescent-Hougang-Punggol-Sengkang-Singapore.jpg,180D Rivervale Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-180d-rivervale-crescent-60236988,1-room,4,60236988,https://www.propertyguru.com.sg/listing/hdb-for-sale-180d-rivervale-crescent-60236988,"180D Rivervale Crescent HDB Flat For Sale at S$ 400,000 | PropertyGuru Singapore",active_listing
232C Sumang Lane,1,1,Built: 2017,47,500074976,FALSE,FALSE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2017,14 min (1.16 km) from PW7 Soo Teck LRT Station,18 Mar 2026,430000,S$ 849.80 psf,S$ 849.80 psf,For Sale,S$ 849.80 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500074976/UPHO.158885908.V550/232C-Sumang-Lane-Hougang-Punggol-Sengkang-Singapore.jpg,232C Sumang Lane,https://www.propertyguru.com.sg/listing/hdb-for-sale-232c-sumang-lane-500074976,1-room,5,500074976,https://www.propertyguru.com.sg/listing/hdb-for-sale-232c-sumang-lane-500074976,"232C Sumang Lane HDB Flat For Sale at S$ 430,000 | PropertyGuru Singapore",active_listing
96 Aljunied Crescent,1,1,Built: 1974,55,500080865,FALSE,FALSE,1,1,592 sqft,HDB Flat,99-year Leasehold,Built: 1974,11 min (890 m) from DT25 Mattar MRT Station,18 Mar 2026,368000,S$ 621.62 psf,S$ 621.62 psf,For Sale,S$ 621.62 psf,"Listed on Mar 18, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500080865/UPHO.158978733.V550/96-Aljunied-Crescent-Eunos-Geylang-Paya-Lebar-Singapore.jpg,96 Aljunied Crescent,https://www.propertyguru.com.sg/listing/hdb-for-sale-96-aljunied-crescent-500080865,1-room,6,500080865,https://www.propertyguru.com.sg/listing/hdb-for-sale-96-aljunied-crescent-500080865,"96 Aljunied Crescent HDB Flat For Sale at S$ 368,000 | PropertyGuru Singapore",active_listing
460B Bukit Batok West Avenue 9,1,1,Built: 2019,48,500046700,FALSE,FALSE,1,1,516 sqft,HDB Flat,99-year Leasehold,Built: 2019,11 min (940 m) from JE2 Tengah Park MRT Station,17 Mar 2026,395000,S$ 765.50 psf,S$ 765.50 psf,For Sale,S$ 765.50 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500046700/UPHO.158455791.V550/460B-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,460B Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-460b-bukit-batok-west-avenue-9-500046700,1-room,7,500046700,https://www.propertyguru.com.sg/listing/hdb-for-sale-460b-bukit-batok-west-avenue-9-500046700,"460B Bukit Batok West Avenue 9 HDB Flat For Sale at S$ 389,000 | PropertyGuru Singapore",active_listing
452 Yishun Ring Road,1,1,Built: 2010,47,500075990,FALSE,TRUE,1,1,506 sqft,HDB Flat,99-year Leasehold,Built: 2010,NA,17 Mar 2026,390000,S$ 770.75 psf,S$ 770.75 psf,For Sale,S$ 770.75 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500075990/UPHO.158901618.V550/452-Yishun-Ring-Road-Sembawang-Yishun-Singapore.jpg,452 Yishun Ring Road,https://www.propertyguru.com.sg/listing/hdb-for-sale-452-yishun-ring-road-500075990,1-room,8,500075990,https://www.propertyguru.com.sg/listing/hdb-for-sale-452-yishun-ring-road-500075990,"452 Yishun Ring Road HDB Flat For Sale at S$ 380,000 | PropertyGuru Singapore",active_listing
468B Bukit Batok West Avenue 9,1,1,Built: 2021,38,60214224,FALSE,TRUE,1,1,409 sqft,HDB Flat,99-year Leasehold,Built: 2021,14 min (1.15 km) from NS3 Bukit Gombak MRT Station,17 Mar 2026,385000,S$ 941.32 psf,S$ 941.32 psf,For Sale,S$ 941.32 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/60214224/UPHO.157971088.V550/468B-Bukit-Batok-West-Avenue-9-Dairy-Farm-Bukit-Panjang-Choa-Chu-Kang-Singapore.jpg,468B Bukit Batok West Avenue 9,https://www.propertyguru.com.sg/listing/hdb-for-sale-468b-bukit-batok-west-avenue-9-60214224,1-room,9,60214224,https://www.propertyguru.com.sg/listing/hdb-for-sale-468b-bukit-batok-west-avenue-9-60214224,"468B Bukit Batok West Avenue 9 HDB Flat For Sale at S$ 385,000 | PropertyGuru Singapore",active_listing
226B Ang Mo Kio Avenue 1,1,1,Built: 1976,66,500082126,FALSE,FALSE,1,1,710 sqft,HDB Flat,99-year Leasehold,Built: 1976,10 min (830 m) from TE6 Mayflower MRT Station,17 Mar 2026,438000,S$ 616.90 psf,S$ 616.90 psf,For Sale,S$ 616.90 psf,"Listed on Mar 17, 2026 (1d ago)",99-year Leasehold,https://sg1-cdn.pgimgs.com/listing/500082126/UPHO.159014901.V550/226B-Ang-Mo-Kio-Avenue-1-Ang-Mo-Kio-Bishan-Thomson-Singapore.jpg,226B Ang Mo Kio Avenue 1,https://www.propertyguru.com.sg/listing/hdb-for-sale-226b-ang-mo-kio-avenue-1-500082126,1-room,10,500082126,https://www.propertyguru.com.sg/listing/hdb-for-sale-226b-ang-mo-kio-avenue-1-500082126,"226B Ang Mo Kio Avenue 1 HDB Flat For Sale at S$ 438,000 | PropertyGuru Singapore",active_listing
