mall,address,postal,lat,lon
Alexandra Retail Centre,460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963,119963,1.274148936,103.8013994
Bugis Junction,200 VICTORIA STREET BUGIS JUNCTION SINGAPORE 188021,188021,1.299112875,103.8554112
Bugis+,201 VICTORIA STREET BUGIS+ SINGAPORE 188067,188067,1.29960369,103.8542423
Capitol Piazza,13 STAMFORD ROAD CAPITOL PIAZZA SINGAPORE 178905,178905,1.293078848,103.851262
Cathay Cineleisure Orchard,8 GRANGE ROAD CATHAY CINELEISURE ORCHARD SINGAPORE 239695,239695,1.301521019,103.8364297
The Centrepoint,176 ORCHARD ROAD 49 SEATS THE CENTREPOINT SINGAPORE 238843,238843,1.30210727,103.8397479
City Square Mall,180 KITCHENER ROAD CITY SQUARE MALL SINGAPORE 208539,208539,1.311421031,103.856624
CityLink Mall,1 RAFFLES LINK CITYLINK MALL SINGAPORE 039393,39393,1.292777731,103.8541735
Chinatown Point,133 NEW BRIDGE ROAD CHINATOWN POINT SINGAPORE 059413,59413,1.284998828,103.8446971
Duo,7 FRASER STREET DUO GALLERIA SINGAPORE 189356,189356,1.299534349,103.8584017
Far East Plaza,14 SCOTTS ROAD FAR EAST PLAZA SINGAPORE 228213,228213,1.307176981,103.8337929
Funan,107 NORTH BRIDGE ROAD FUNAN SINGAPORE 179105,179105,1.291347597,103.8499898
Great World City,1 KIM SENG PROMENADE GREAT WORLD CITY SINGAPORE 237994,237994,1.293422727,103.8320221
HarbourFront Centre,1 MARITIME SQUARE HARBOURFRONT CENTRE SINGAPORE 099253,99253,1.263969912,103.8202433
HDB Hub,480 LORONG 6 TOA PAYOH HDB HUB SINGAPORE 310480,310480,1.332054852,103.8485076
ONE HOLLAND VILLAGE,7 HOLLAND VILLAGE WAY ONE HOLLAND VILLAGE SINGAPORE 275748,275748,1.3112344,103.7941557
ION Orchard,2 ORCHARD TURN ION ORCHARD SINGAPORE 238801,238801,1.303979741,103.8320323
Junction 8,9 BISHAN PLACE JUNCTION 8 SINGAPORE 579837,579837,1.350481253,103.8487605
Liat Towers,541 ORCHARD ROAD LIAT TOWERS SINGAPORE 238881,238881,1.305087227,103.8307226
Lucky Plaza,304 ORCHARD ROAD LUCKY PLAZA SINGAPORE 238863,238863,1.304506046,103.8339623
Marina Bay Sands,1 BAYFRONT AVENUE MARINA BAY SANDS SINGAPORE 018971,18971,1.2836094,103.8608247
Marina Bay Link Mall,8A MARINA BOULEVARD MARINA BAY LINK MALL SINGAPORE 018984,18984,1.280238254,103.8533697
Marina Square,6 RAFFLES BOULEVARD MARINA SQUARE SINGAPORE 039594,39594,1.291855333,103.8585781
Millenia Walk,9 RAFFLES BOULEVARD MILLENIA WALK SINGAPORE 039596,39596,1.292605445,103.8597249
Mustafa Centre,145 SYED ALWI ROAD MUSTAFA CENTRE SINGAPORE 207704,207704,1.310112132,103.8552909
Ngee Ann City,391 ORCHARD ROAD NGEE ANN CITY SINGAPORE 238872,238872,1.302241685,103.8351819
Orchard Central,181 ORCHARD ROAD ORCHARD CENTRAL SINGAPORE 238896,238896,1.300838908,103.8394347
Orchard Gateway,277 ORCHARD ROAD ORCHARD GATEWAY SINGAPORE 238858,238858,1.300443253,103.8394428
Palais Renaissance,390 ORCHARD ROAD PALAIS RENAISSANCE SINGAPORE 238871,238871,1.306654845,103.829588
The Paragon,290 ORCHARD ROAD THE PARAGON SINGAPORE 238859,238859,1.303872309,103.8358575
People's Park Centre,101 UPPER CROSS STREET PEOPLE'S PARK CENTRE SINGAPORE 058357,58357,1.2857701,103.8439801
People's Park Complex,1 PARK ROAD PEOPLE'S PARK COMPLEX SINGAPORE 059108,59108,1.284133972,103.84252
Plaza Singapura,68 ORCHARD ROAD PLAZA SINGAPURA SINGAPORE 238839,238839,1.30074771,103.8450476
Raffles City,252 NORTH BRIDGE ROAD RAFFLES CITY SHOPPING CENTRE SINGAPORE 179103,179103,1.293893579,103.8531199
Shaw House and Centre,350 ORCHARD ROAD SHAW HOUSE SINGAPORE 238868,238868,1.3059679,103.8314223
Sim Lim Square,1 ROCHOR CANAL ROAD SIM LIM SQUARE SINGAPORE 188504,188504,1.303024261,103.8530378
The South Beach,38 BEACH ROAD THE SOUTH BEACH SINGAPORE 189767,189767,1.294988044,103.8562762
Square 2,10 SINARAN DRIVE SQUARE 2 SINGAPORE 307506,307506,1.32070511,103.8441607
Suntec City,3 TEMASEK BOULEVARD GOLDEN VILLAGE (GV SUNTEC CITY) SINGAPORE 038983,38983,1.294859902,103.8603337
Tanjong Pagar Centre,5 WALLICH STREET TANJONG PAGAR CENTRE SINGAPORE 078883,78883,1.276583607,103.8459363
Tekka Centre,662 BUFFALO ROAD ZHUJIAO CENTRE (TEKKA MARKET) SINGAPORE 210662,210662,1.306247229,103.849956
Tiong Bahru Plaza,302 TIONG BAHRU ROAD TIONG BAHRU PLAZA SINGAPORE 168732,168732,1.286458895,103.8270153
Thomson Plaza,301 UPPER THOMSON ROAD THOMSON PLAZA SINGAPORE 574408,574408,1.354669025,103.8309198
Novena Square ,238 THOMSON ROAD NOVENA SQUARE SINGAPORE 307683,307683,1.3201263,103.843841
VivoCity,1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585,98585,1.264293168,103.8223047
Wheelock Place,501 ORCHARD ROAD WHEELOCK PLACE SINGAPORE 238880,238880,1.304676287,103.830642
Wisma Atria,435 ORCHARD ROAD WISMA ATRIA SINGAPORE 238877,238877,1.303704774,103.8332058
Bedok Mall,311 NEW UPPER CHANGI ROAD BEDOK MALL SINGAPORE 467360,467360,1.324736328,103.9292563
Century Square,2 TAMPINES CENTRAL 5 CENTURY SQUARE SINGAPORE 529509,529509,1.352368296,103.9438123
Changi City Point,5 CHANGI BUSINESS PARK CENTRAL 1 CHANGI CITY POINT SINGAPORE 486038,486038,1.334036379,103.9629176
Downtown East,1 PASIR RIS CLOSE COSTA SANDS RESORT (DOWNTOWN EAST) SINGAPORE 519599,519599,1.379127179,103.9554448
Eastpoint Mall,3 SIMEI STREET 6 EASTPOINT MALL SINGAPORE 528833,528833,1.342705924,103.9530246
Jewel Changi Airport,78 AIRPORT BOULEVARD JEWEL CHANGI AIRPORT SINGAPORE 819666,819666,1.360341007,103.9890776
Katong Shopping Centre,865 MOUNTBATTEN ROAD KATONG SHOPPING CENTRE SINGAPORE 437844,437844,1.304097312,103.9015159
Kallang Wave Mall,1 STADIUM PLACE KALLANG WAVE MALL SINGAPORE 397628,397628,1.303075152,103.8731497
Leisure Park Kallang,5 STADIUM WALK LEISURE PARK KALLANG SINGAPORE 397693,397693,1.302301084,103.876474
112 KATONG,112 EAST COAST ROAD 112 KATONG SINGAPORE 428802,428802,1.3053494,103.9050436
Our Tampines Hub,1 TAMPINES WALK HAWKER CENTRE @ OUR TAMPINES HUB SINGAPORE 528523,528523,1.353547405,103.9403811
Parkway Parade,80 MARINE PARADE ROAD PARKWAY PARADE SINGAPORE 449269,449269,1.301069755,103.9052795
Paya Lebar Quarter,10 PAYA LEBAR ROAD PAYA LEBAR QUARTER SINGAPORE 409057,409057,1.317708869,103.8934147
Paya Lebar Square,60 PAYA LEBAR ROAD PAYA LEBAR SQUARE SINGAPORE 409051,409051,1.31881487,103.8925808
