name,lat,lng,full_address,block,street,postal_code,lic_no
LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,1.402303006,103.9012624,"273C PUNGGOL PLACE, Singapore 823273",273C,PUNGGOL PLACE,823273,NE12I65N000
SHENG SIONG SUPERMARKET PTE LTD,1.314239371,103.870914,"11 UPPER BOON KENG ROAD, Singapore 380011",11,UPPER BOON KENG ROAD,380011,E73010V000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.373321217,103.8863655,"683 HOUGANG AVENUE 8, Singapore 530683",683,HOUGANG AVENUE 8,530683,NE11909C000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.332958727,103.9149418,"631 BEDOK RESERVOIR ROAD, Singapore 470631",631,BEDOK RESERVOIR ROAD,470631,S02210X000
YES SUPERMARKET PTE LTD,1.353453156,103.9530099,"201B TAMPINES STREET 21, Singapore 522201",201B,TAMPINES STREET 21,522201,S02037J000
G8 MART PTE. LTD.,1.365384216,103.852967,"421 ANG MO KIO AVENUE 10, Singapore 560421",421,ANG MO KIO AVENUE 10,560421,CE13401C000
SHENG SIONG SUPERMARKET PTE LTD,1.367549248,103.8367406,"233 ANG MO KIO AVENUE 3, Singapore 560233",233,ANG MO KIO AVENUE 3,560233,CE04334P000
PRIME SUPERMARKET (1996) PTE LTD,1.353702969,103.8906808,"106 HOUGANG AVENUE 1, Singapore 530106",106,HOUGANG AVENUE 1,530106,S02059X000
TAN KWEE ENG,1.430071097,103.8423964,"327 YISHUN RING ROAD, Singapore 760327",327,YISHUN RING ROAD,760327,B02041C000
SHENG SIONG SUPERMARKET PTE LTD,1.370188604,103.8434132,"122 ANG MO KIO AVENUE 3, Singapore 560122",122,ANG MO KIO AVENUE 3,560122,B02015J000
KAI SOON SUPERMARKET PTE. LTD.,1.42213865,103.8328827,"780 YISHUN RING ROAD, Singapore 760780",780,YISHUN RING ROAD,760780,W03223N000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.323250401,103.7672601,"41 SUNSET WAY, Singapore 597071",41,SUNSET WAY,597071,NW08141P000
PRIME SUPERMARKET LIMITED,1.334292414,103.8787462,"1 UPPER ALJUNIED LANE, Singapore 360001",1,UPPER ALJUNIED LANE,360001,SE04040C000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.302221781,103.8761527,"5 STADIUM WALK, Singapore 397693",5,STADIUM WALK,397693,SE07216L000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.320211016,103.8436568,"238 THOMSON ROAD, Singapore 307683",238,THOMSON ROAD,307683,W02074L000
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,1.439916079,103.8007012,"676 WOODLANDS DRIVE 71, Singapore 730676",676,WOODLANDS DRIVE 71,730676,NW18310J000
SHENG SIONG SUPERMARKET PTE LTD,1.307785101,103.857011,"1 JALAN BERSEH, Singapore 209037",1,JALAN BERSEH,209037,CE12096L000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.304843445,103.8238528,"163 TANGLIN ROAD, Singapore 247933",163,TANGLIN ROAD,247933,W02073N000
BLUEWATER SEAFOOD PTE. LTD.,1.303445974,103.8093817,"8D DEMPSEY ROAD, Singapore 249672",8D,DEMPSEY ROAD,249672,CE18D64L000
LITTLE FARMS PTE. LTD.,1.310643503,103.7952462,"3 LORONG LIPUT, Singapore 277725",3,LORONG LIPUT,277725,CE18I13C000
"CHEE MIN KUAN, SIMON",1.303733734,103.8964982,"342 TANJONG KATONG ROAD, Singapore 437112",342,TANJONG KATONG ROAD,437112,SE14965K000
JSJ CORPORATION PTE. LTD.,1.318452011,103.9858694,"31A TANAH MERAH COAST ROAD, Singapore 498720",31A,TANAH MERAH COAST ROAD,498720,SE17345J000
U STARS PTE. LTD.,1.37860238,103.9419782,"625 ELIAS ROAD, Singapore 510625",625,ELIAS ROAD,510625,NE04092A000
LOTTE MART PTE. LTD.,1.340826615,103.7742133,"17 LORONG KILAT, Singapore 598139",17,LORONG KILAT,598139,SW06806E000
MURUGAN TRADERS PTE LTD,1.324919804,103.7050997,"9 TRACTOR ROAD, Singapore 627970",9,TRACTOR ROAD,627970,SW18B79P000
SHENG SIONG SUPERMARKET PTE LTD,1.355723076,103.7393031,"440 BUKIT BATOK WEST AVENUE 8, Singapore 650440",440,BUKIT BATOK WEST AVENUE 8,650440,SW18A30L000
SHENG SIONG SUPERMARKET PTE LTD,1.446804132,103.8054876,"785E WOODLANDS RISE, Singapore 735785",785E,WOODLANDS RISE,735785,NW18649C000
SHENG SIONG SUPERMARKET PTE LTD,1.420155503,103.8435589,"675 YISHUN AVENUE 4, Singapore 760675",675,YISHUN AVENUE 4,760675,NW18478E000
HAO MART PTE. LTD.,1.399904204,103.9193528,"658 PUNGGOL EAST, Singapore 820658",658,PUNGGOL EAST,820658,NE18667L000
THE SEAFOOD MARKET PLACE (BY SONG FISH) PTE. LTD.,1.402878451,103.9131957,"681 PUNGGOL DRIVE, Singapore 820681",681,PUNGGOL DRIVE,820681,NE18529J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.372645695,103.8538907,"525 ANG MO KIO AVENUE 10, Singapore 560525",525,ANG MO KIO AVENUE 10,560525,S02169J000
PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,1.274588224,103.8434707,"100 TRAS STREET, Singapore 79027",100,TRAS STREET,79027,CE18A78X000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.309822274,103.9022325,"291 JOO CHIAT ROAD, Singapore 427543",291,JOO CHIAT ROAD,427543,SE11505P000
SHENG SIONG SUPERMARKET PTE LTD,1.402621965,103.9165196,"660A EDGEDALE PLAINS, Singapore 821660",660A,EDGEDALE PLAINS,821660,NE17700J000
VIVA CORP SERVICES PTE. LTD.,1.337338624,103.9037351,"23 KAKI BUKIT ROAD 3, Singapore 415812",23,KAKI BUKIT ROAD 3,415812,NE14190K000
ROSWELL ENTERPRISE PTE LTD,1.331832408,103.8064924,"34 GREENWOOD AVENUE, Singapore 289236",34,GREENWOOD AVENUE,289236,B03078N000
T S J INDUSTRIAL (S) PTE. LTD.,1.336830974,103.7543414,"48 TOH GUAN ROAD EAST, Singapore 608586",48,TOH GUAN ROAD EAST,608586,SW14484J000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.301191315,103.9051136,"80 MARINE PARADE ROAD, Singapore 449269",80,MARINE PARADE ROAD,449269,E02196C000
COLD STORAGE SINGAPORE (1983) PTE LTD,1.30974242,103.8641017,"12 KALLANG AVENUE, Singapore 339511",12,KALLANG AVENUE,339511,CE14G73B000
