stn_code,stn_name,address,postal_code,lat,lng
NS1,Jurong East,10 JURONG EAST STREET 12,609690,1.3330275154394,103.742370487607
NS2,Bukit Batok,10 BUKIT BATOK CENTRAL,659958,1.34903331201636,103.749566478309
NS3,Bukit Gombak,802 BUKIT BATOK WEST AVENUE 5,659083,1.35861159094192,103.751790910733
NS4,Choa Chu Kang,10 CHOA CHU KANG AVENUE 4,689810,1.38536316540225,103.744370779756
NS5,Yew Tee,61 CHOA CHU KANG DRIVE,689715,1.39753506936297,103.747405150236
NS7,Kranji,960 WOODLANDS ROAD,738702,1.42508698073648,103.762137459497
NS8,Marsiling,71 WOODLANDS AVENUE 3,739044,1.43252114855026,103.774074641403
NS9,Woodlands,30 WOODLANDS AVENUE 2,738343,1.43681962961519,103.786066799253
NS10,Admiralty,70 WOODLANDS AVENUE 7,738344,1.44058856161847,103.800990519771
NS11,Sembawang,11 CANBERRA ROAD,759775,1.44905082158502,103.820046140211
NS12,Canberra,11 CANBERRA LINK,756972,1.44307664075699,103.829702590959
NS13,Yishun,301 YISHUN AVENUE 2,769093,1.42944308477331,103.835005047246
NS14,Khatib,201 YISHUN AVENUE 2,769092,1.41738337009565,103.832979908243
NS15,Yio Chu Kang,3000 ANG MO KIO AVENUE 8,569813,1.38175587099132,103.84494727118
NS16,Ang Mo Kio,2795 ANG MO KIO AVENUE 8,569812,1.36993284962262,103.84955809232
NS17,Bishan,200 BISHAN ROAD,579827,1.35083898784737,103.848143964542
NS18,Braddell,377 LORONG 1 TOA PAYOH,319756,1.3404690010277,103.846799083148
NS19,Toa Payoh,510 LORONG 6 TOA PAYOH,319398,1.33262928096888,103.847502198048
NS20,Novena,250 THOMSON ROAD,307642,1.32044079120154,103.843825618748
NS21,Newton,49 SCOTTS ROAD,228234,1.3123189224097,103.837984594021
NS22,Orchard,437 ORCHARD ROAD,238878,1.30398013681715,103.832245244375
NS23,Somerset,1 SOMERSET ROAD,238162,1.30026416739006,103.839085753124
NS24,Dhoby Ghaut,11 ORCHARD ROAD,238826,1.29870132536119,103.846113677951
NS25,City Hall,150 NORTH BRIDGE ROAD,179100,1.29293672227779,103.852585580366
NS26,Raffles Place,5 RAFFLES PLACE,048618,1.28412561043658,103.851461712342
NS27,Marina Bay,21 PARK STREET,018925,1.276410298755,103.854595522263
NS28,Marina South Pier,33 MARINA COASTAL DRIVE,018948,1.27102703612006,103.862447515736
EW1,Pasir Ris,2 ENGINEERING DRIVE 2,117577,1.29856088351449,103.770758741678
EW2,Tampines,20 TAMPINES CENTRAL 1,529538,1.35330167637376,103.945144586749
EW3,Simei,30 SIMEI STREET 3,529888,1.34319707851829,103.953377214378
EW4,Tanah Merah,920 NEW UPPER CHANGI ROAD,467356,1.32718729074675,103.946348600798
EW5,Bedok,315 NEW UPPER CHANGI ROAD,467347,1.32397996868158,103.929984495066
EW6,Kembangan,55 SIMS AVENUE EAST,416551,1.3210381335934,103.912947930851
EW7,Eunos,30 EUNOS CRESCENT,409423,1.31978354916088,103.903225807255
EW8,Paya Lebar,30 PAYA LEBAR ROAD,409006,1.31811149224527,103.893060771576
EW9,Aljunied,81 LORONG 25 GEYLANG,388310,1.3164326118157,103.882906044385
EW10,Kallang,5 SIMS AVENUE,387405,1.31148890998818,103.871386541754
EW11,Lavender,50 KALLANG ROAD,208699,1.30737781747063,103.862767633888
EW12,Bugis,220 VICTORIA STREET,188022,1.30046508509717,103.855706730933
EW13,City Hall,150 NORTH BRIDGE ROAD,179100,1.29293672227779,103.852585580366
EW14,Raffles Place,5 RAFFLES PLACE,048618,1.28412561043658,103.851461712342
EW15,Tanjong Pagar,120 MAXWELL ROAD,069119,1.27656131737246,103.845725186759
EW16,Outram Park,10 OUTRAM ROAD,169037,1.28140504772213,103.839130979249
EW17,Tiong Bahru,300 TIONG BAHRU ROAD,168731,1.28610253615775,103.827445112419
EW18,Redhill,920 TIONG BAHRU ROAD,158792,1.28963453412887,103.81674097205
EW19,Queenstown,301 COMMONWEALTH AVENUE,149729,1.29455085184931,103.806077155982
EW20,Commonwealth,375 COMMONWEALTH AVENUE,149735,1.30250199924325,103.798228523336
EW21,Buona Vista,100 NORTH BUONA VISTA ROAD,139345,1.3072237082044,103.790253514502
EW22,Dover,200 COMMONWEALTH AVENUE WEST,138677,1.31140529320963,103.778637841909
EW23,Clementi,3150 COMMONWEALTH AVENUE WEST,129580,1.31511625277378,103.765191452888
EW24,Jurong East,10 JURONG EAST STREET 12,609690,1.3330275154394,103.742370487607
EW25,Chinese Garden,151 BOON LAY WAY,609959,1.34235282081401,103.732596738363
EW26,Lakeside,201 BOON LAY WAY,649845,1.34425911493819,103.720949087456
EW27,Boon Lay,301 BOON LAY WAY,649846,1.33860405469845,103.706064622772
EW28,Pioneer,31 JURONG WEST STREET 63,648310,1.33758701106708,103.697321608474
EW29,Joo Koon,91 JOO KOON CIRCLE,629116,1.3277170408447,103.678374996165
EW30,Gul Circle,7A TUAS ROAD,637288,1.31947090075208,103.660530461345
EW31,Tuas Crescent,90 PIONEER ROAD,639608,1.32102695598684,103.649078235627
EW32,Tuas West Road,131 PIONEER ROAD,639609,1.32998504653102,103.639616648771
EW33,Tuas Link,20 TUAS WEST DRIVE,638418,1.34088242451105,103.636991425128
CG1,Expo,21 CHANGI SOUTH AVENUE 1,486065,1.33454977824817,103.961548211018
CG2,Changi Airport,70 AIRPORT BOULEVARD,819661,1.35747897447692,103.98788356959
NE1,HarbourFront,81 TELOK BLANGAH ROAD,098867,1.26538938374901,103.821530157095
NE3,Outram Park,300 EU TONG SEN STREET,059816,1.27972059383553,103.839439862425
NE4,Chinatown,151 NEW BRIDGE ROAD,059443,1.28435959278583,103.843426681863
NE5,Clarke Quay,10 EU TONG SEN STREET,059815,1.28838602407588,103.846555209694
NE6,Dhoby Ghaut,60 ORCHARD ROAD,238889,1.29970458121203,103.845488542541
NE7,Little India,60 BUKIT TIMAH ROAD,229900,1.30680019696174,103.849647059738
NE8,Farrer Park,250 RACE COURSE ROAD,218703,1.31190557325774,103.853477716509
NE9,Boon Keng,900 SERANGOON ROAD,328260,1.31933570922514,103.861569454156
NE10,Potong Pasir,55 UPPER SERANGOON ROAD,347694,1.33137949021368,103.869055656782
NE11,Woodleigh,400 UPPER SERANGOON ROAD,347695,1.33919004519388,103.87081830915
NE12,Serangoon,600 UPPER SERANGOON ROAD,534801,1.34970788089564,103.873574849884
NE13,Kovan,900 UPPER SERANGOON ROAD,534799,1.36017917065237,103.885064856353
NE14,Hougang,80 HOUGANG CENTRAL,538758,1.37129226620797,103.892380513029
NE15,Buangkok,10 SENGKANG CENTRAL,545061,1.38287001971672,103.893122569706
NE16,Sengkang,5 SENGKANG SQUARE,545062,1.39169462601522,103.895484694279
NE17,Punggol,70 PUNGGOL CENTRAL,828868,1.40454653668991,103.902072622229
NE18,Punggol Coast,101 NEW PUNGGOL ROAD,828604,1.41492733388605,103.910166388177
CC1,Dhoby Ghaut,13 ORCHARD ROAD,238893,1.29891164362677,103.84629250696
CC2,Bras Basah,65 BRAS BASAH ROAD,189561,1.29686168649656,103.850667371637
CC3,Esplanade,90 BRAS BASAH ROAD,189562,1.2936577245386,103.855081226245
CC4,Promenade,2 TEMASEK AVENUE,039193,1.29399798636232,103.860350000188
CC5,Nicoll Highway,20 REPUBLIC AVENUE,038970,1.29976684675139,103.86363696572
CC6,Stadium,3 STADIUM WALK,397692,1.3028124684707,103.875337711089
CC7,Mountbatten,301 MOUNTBATTEN ROAD,398006,1.30620190525331,103.882528081052
CC8,Dakota,201 OLD AIRPORT ROAD,397973,1.30854798388121,103.889064718377
CC9,Paya Lebar,15 PAYA LEBAR ROAD,409049,1.3172473854035,103.892260753884
CC10,MacPherson,171 PAYA LEBAR ROAD,409048,1.32607760171665,103.890391305725
CC11,Tai Seng,33 UPPER PAYA LEBAR ROAD,534803,1.33514150139202,103.888389300191
CC12,Bartley,90 BARTLEY ROAD,539788,1.34250117805245,103.880177899184
CC13,Serangoon,21 SERANGOON CENTRAL,556082,1.35063361526525,103.872771660431
CC14,Lorong Chuan,150 SERANGOON AVENUE 3,554533,1.35161217074555,103.864151938651
CC15,Bishan,17 BISHAN PLACE,579842,1.35131580146658,103.84914026532
CC16,Marymount,60 MARYMOUNT ROAD,573993,1.348707263451,103.839423132332
CC17,Caldecott,38 TOA PAYOH RISE,298113,1.33767337407828,103.839530785576
CC19,Botanic Gardens,100 CLUNY PARK ROAD,257494,1.32211373558877,103.814984510627
CC20,Farrer Road,71 FARRER ROAD,268857,1.31743915158967,103.807379214161
CC21,Holland Village,200 HOLLAND AVENUE,278995,1.31224029631595,103.796399122407
CC22,Buona Vista,150 NORTH BUONA VISTA ROAD,139350,1.30663450405,103.790709404436
CC23,one-north,9 AYER RAJAH AVENUE,138647,1.29975987493555,103.78745750525
CC24,Kent Ridge,301 SOUTH BUONA VISTA ROAD,118177,1.29353349887123,103.784572738173
CC25,Haw Par Villa,270 PASIR PANJANG ROAD,117396,1.28257135772488,103.781752725064
CC26,Pasir Panjang,119 PASIR PANJANG ROAD,117424,1.27621352233766,103.791350313288
CC27,Labrador Park,701 TELOK BLANGAH ROAD,109029,1.27225417749656,103.802631578766
CC28,Telok Blangah,463 TELOK BLANGAH ROAD,109028,1.27070647717762,103.809761611219
CC29,HarbourFront,81 TELOK BLANGAH ROAD,098867,1.26538938374901,103.821530157095
CE1,Bayfront,11 BAYFRONT AVENUE,018957,1.28187378879209,103.859079764874
CE2,Marina Bay,23 PARK STREET,018926,1.27625146423743,103.855447156279
DT1,Bukit Panjang,950 UPPER BUKIT TIMAH ROAD,678213,1.37900211641036,103.761535114929
DT2,Cashew,1 CASHEW ROAD,679696,1.36981544925552,103.76443921414
DT3,Hillview,510 UPPER BUKIT TIMAH ROAD,678211,1.36234486803558,103.767418254007
DT4,Hume,371 UPPER BUKIT TIMAH ROAD,589681,1.3545953239503,103.769118851887
DT5,Beauty World,101 UPPER BUKIT TIMAH ROAD,588216,1.34122317558549,103.775794285083
DT6,King Albert Park,2 BLACKMORE DRIVE,599987,1.33566161262214,103.783399113441
DT7,Sixth Avenue,777 BUKIT TIMAH ROAD,269784,1.33085764536226,103.796906838288
