,address,floor_area_sqm,asking_price,lat,lon,postal,full_address,town,lease_commence_date,remaining_lease,flat_type,storey_midpoint,storey_imputed,mall_1_name,mall_1_dist_m,mall_2_name,mall_2_dist_m,mall_3_name,mall_3_dist_m,school_1_name,school_1_dist_m,school_2_name,school_2_dist_m,school_3_name,school_3_dist_m,hawker_1_name,hawker_1_dist_m,hawker_2_name,hawker_2_dist_m,hawker_3_name,hawker_3_dist_m,polyclinic_1_name,polyclinic_1_dist_m,polyclinic_2_name,polyclinic_2_dist_m,polyclinic_3_name,polyclinic_3_dist_m,supermarket_1_name,supermarket_1_dist_m,supermarket_2_name,supermarket_2_dist_m,supermarket_3_name,supermarket_3_dist_m,train_1_name,train_1_dist_m,train_2_name,train_2_dist_m,train_3_name,train_3_dist_m,bus_1_name,bus_1_dist_m,bus_2_name,bus_2_dist_m,bus_3_name,bus_3_dist_m,num_mrt_within_1km,flag_mrt_within_500m,num_primary_schools_within_1km,num_hawkers_within_500m,num_bus_within_400m,dist_cbd,month_index,median_6m_similar,predicted_price,valuation_pct
0,451A Bukit Batok West Avenue 6,38,415000.0,1.35304899382254,103.742932562787,651451,451A BUKIT BATOK WEST AVENUE 6 WEST TERRA @ BUKIT BATOK SINGAPORE 651451,BUKIT BATOK,2018,91,1 ROOM,8.0,True,Le Quest,379,West Mall,778,Parc Point,961,MILLENNIA INSTITUTE,338,PRINCESS ELIZABETH PRIMARY SCHOOL,495,BUKIT BATOK SECONDARY SCHOOL,556,Bukit Batok West Hawker Centre,283,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1210,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1509,Bukit Batok Polyclinic,556,Jurong Polyclinic,1407,Choa Chu Kang Polyclinic,3372,SHENG SIONG SUPERMARKET PTE LTD,113,PRIME SUPERMARKET LIMITED,498,SHENG SIONG SUPERMARKET PTE LTD,501,Bukit Batok,862,Bukit Gombak,1163,Chinese Garden,1654,40301,48,40309,71,43539,186,1,0,2,1,8,13980.28812494575,110,,440898.0,-5.87
1,76 Telok Blangah Drive,44,328888.0,1.27438363830311,103.808741773193,100076,76 TELOK BLANGAH DRIVE SINGAPORE 100076,BUKIT MERAH,1977,50,1 ROOM,5.0,True,Alexandra Retail Centre,817,Queensway Shopping Centre,1585,HarbourFront Centre,1725,BLANGAH RISE PRIMARY SCHOOL,194,BUKIT MERAH SECONDARY SCHOOL,1362,GAN ENG SENG PRIMARY SCHOOL,1458,Telok Blangah Drive Blk 82 (Telok Blangah Market),108,Telok Blangah Hawker Centre & Market,131,Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),169,Bukit Merah Polyclinic,1395,Queenstown Polyclinic,2815,Outram Polyclinic,3342,NTUC FAIRPRICE CO-OPERATIVE LTD,113,NTUC FAIRPRICE CO-OPERATIVE LTD,763,NTUC FAIRPRICE CO-OPERATIVE LTD,850,Telok Blangah,424,Labrador Park,719,HarbourFront,1738,14329,75,14499,185,14491,202,2,1,1,3,13,4447.929632546389,110,271944.0,330314.0,-0.43
2,14 Taman Ho Swee,43,328888.0,1.28790461781044,103.83219770269,161014,14 TAMAN HO SWEE BUKIT HO SWEE VIEW SINGAPORE 161014,BUKIT MERAH,1970,43,1 ROOM,5.0,True,Tiong Bahru Plaza,598,Great World City,614,Great World,614,OUTRAM SECONDARY SCHOOL,569,ZHANGDE PRIMARY SCHOOL,807,RIVER VALLEY PRIMARY SCHOOL,817,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),286,Tiong Bahru Market,347,Zion Riverside Food Centre,506,Outram Polyclinic,1148,Bukit Merah Polyclinic,1754,Queenstown Polyclinic,3666,NTUC FAIRPRICE CO-OPERATIVE LTD,472,YOUR GROCER PRIVATE LIMITED,569,NTUC FAIRPRICE CO-OPERATIVE LTD,607,Havelock,168,Tiong Bahru,565,Great World,693,6081,152,6071,201,10149,219,3,1,3,2,11,1791.5876489867255,110,271944.0,338739.0,-2.91
3,468A Bukit Batok West Avenue 9,47,329999.0,1.35649522522916,103.742712657002,651468,468A BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 651468,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,187,Parc Point,635,Plantation Plaza,957,MILLENNIA INSTITUTE,698,DAZHONG PRIMARY SCHOOL,706,DUNEARN SECONDARY SCHOOL,819,Bukit Batok West Hawker Centre,136,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1548,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1736,Bukit Batok Polyclinic,756,Jurong Polyclinic,1532,Choa Chu Kang Polyclinic,3011,SHENG SIONG SUPERMARKET PTE LTD,389,SHENG SIONG SUPERMARKET PTE LTD,408,COLD STORAGE SINGAPORE (1983) PTE LTD,790,Bukit Gombak,1036,Bukit Batok,1126,Chinese Garden,1933,40379,142,40369,184,40371,185,0,0,2,1,9,14215.911246849482,110,,468613.0,-29.58
4,180D Rivervale Crescent,47,400000.0,1.3893584945611,103.910398123408,544180,180D RIVERVALE CRESCENT RIVERVALE ARC SINGAPORE 544180,SENGKANG,2013,86,1 ROOM,8.0,True,Punggol Plaza,617,Oasis Terraces,1525,Compass One,1730,MEE TOH SCHOOL,644,RIVERVALE PRIMARY SCHOOL,787,GREENDALE PRIMARY SCHOOL,821,Buangkok Hawker Centre,2089,One Punggol Hawker Centre,2233,Anchorvale Village Hawker Centre,2577,Punggol Polyclinic,1499,Sengkang Polyclinic,1872,Hougang Polyclinic,3215,NTUC FAIRPRICE CO-OPERATIVE LTD,608,NTUC FAIRPRICE CO-OPERATIVE LTD,731,PRIME SUPERMARKET LIMITED,815,Rumbia,545,Coral Edge,561,Bakau,574,67661,180,67529,262,67521,326,5,0,4,0,3,13679.658896883175,110,,428234.0,-6.59
5,232C Sumang Lane,47,430000.0,1.40203576124081,103.890116621791,823232,232C SUMANG LANE MATILDA COURT SINGAPORE 823232,PUNGGOL,2017,90,1 ROOM,8.0,True,Anchorvale Village,612,Compass One,1239,Waterway Point,1411,SPRINGDALE PRIMARY SCHOOL,755,YUSOF ISHAK SECONDARY SCHOOL,875,PUNGGOL GREEN PRIMARY SCHOOL,965,Anchorvale Village Hawker Centre,612,One Punggol Hawker Centre,1832,Fernvale Hawker Centre & Market,1852,Sengkang Polyclinic,1111,Punggol Polyclinic,2540,Hougang Polyclinic,3575,SHENG SIONG SUPERMARKET PTE LTD,316,U STARS SUPERMARKET PTE. LTD.,585,U STARS SUPERMARKET PTE. LTD.,601,Farmway,549,Cheng Lim,760,Soo Teck,877,65549,196,65541,207,67691,354,3,0,2,0,7,13998.601259314655,110,,447855.0,-3.99
6,96 Aljunied Crescent,55,368000.0,1.32165649786917,103.885423356978,380096,96 ALJUNIED CRESCENT SINGAPORE 380096,GEYLANG,1974,47,1 ROOM,8.0,True,Paya Lebar Square,856,Lot 1,948,Paya Lebar Quarter,991,GEYLANG METHODIST SCHOOL (PRIMARY),439,CANOSSA CATHOLIC PRIMARY SCHOOL,659,BROADRICK SECONDARY SCHOOL,1633,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),210,Circuit Road Blk 89,214,Circuit Road Blk 79/79A,551,Geylang Polyclinic,309,Kallang Polyclinic,1744,Eunos Polyclinic,1924,NTUC FAIRPRICE CO-OPERATIVE LTD,139,COLD STORAGE SINGAPORE (1983) PTE LTD,284,NTUC FAIRPRICE CO-OPERATIVE LTD,767,Mattar,629,Aljunied,645,MacPherson,739,70211,273,81211,317,81219,349,6,0,2,2,4,5965.51668652202,110,,387903.0,-5.13
7,460B Bukit Batok West Avenue 9,48,395000.0,1.35370592391877,103.739150308425,652460,460B BUKIT BATOK WEST AVENUE 9 WEST QUARRY @ BUKIT BATOK SINGAPORE 652460,BUKIT BATOK,2019,92,1 ROOM,8.0,True,Le Quest,332,Plantation Plaza,702,Parc Point,771,MILLENNIA INSTITUTE,464,PRINCESS ELIZABETH PRIMARY SCHOOL,531,BUKIT BATOK SECONDARY SCHOOL,611,Bukit Batok West Hawker Centre,379,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1147,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1239,Bukit Batok Polyclinic,982,Jurong Polyclinic,1037,Choa Chu Kang Polyclinic,3436,SHENG SIONG SUPERMARKET PTE LTD,225,SHENG SIONG SUPERMARKET PTE LTD,539,PRIME SUPERMARKET LIMITED,694,Bukit Batok,1269,Chinese Garden,1458,Bukit Gombak,1507,40341,105,40331,129,40349,135,0,0,3,1,14,14371.988842162715,110,,448246.0,-11.88
8,452 Yishun Ring Road,47,390000.0,1.42208264283536,103.84541571786,760452,452 YISHUN RING ROAD JADE SPRING @ YISHUN SINGAPORE 760452,YISHUN,2010,83,1 ROOM,8.0,True,GV Yishun,1322,Northpoint City,1366,Canberra Plaza,2911,NORTHBROOKS SECONDARY SCHOOL,144,NORTHLAND PRIMARY SCHOOL,521,HUAMIN PRIMARY SCHOOL,559,Yishun Park Hawker Centre,331,Chong Pang Hawker Centre & Market,2067,Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),2146,Khatib Polyclinic,909,Yishun Polyclinic,1151,Sembawang Polyclinic,2218,SHENG SIONG SUPERMARKET PTE LTD,298,NTUC FAIRPRICE CO-OPERATIVE LTD,302,COLD STORAGE SINGAPORE (1983) PTE LTD,374,Yishun,1417,Khatib,1478,Canberra,2916,59639,190,59631,211,59461,219,0,0,4,1,10,15411.778862711199,110,,404252.0,-3.53
9,468B Bukit Batok West Avenue 9,38,385000.0,1.35686958198537,103.743161006143,652468,468B BUKIT BATOK WEST AVENUE 9 WEST PLAINS @ BUKIT BATOK SINGAPORE 652468,BUKIT BATOK,2021,94,1 ROOM,8.0,True,Le Quest,249,Parc Point,643,Plantation Plaza,1002,DAZHONG PRIMARY SCHOOL,644,MILLENNIA INSTITUTE,749,DUNEARN SECONDARY SCHOOL,766,Bukit Batok West Hawker Centre,199,Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1605,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1801,Bukit Batok Polyclinic,748,Jurong Polyclinic,1595,Choa Chu Kang Polyclinic,2956,SHENG SIONG SUPERMARKET PTE LTD,435,SHENG SIONG SUPERMARKET PTE LTD,447,COLD STORAGE SINGAPORE (1983) PTE LTD,731,Bukit Gombak,979,Bukit Batok,1125,Chinese Garden,1996,40379,78,40371,137,40369,208,1,0,2,1,8,14198.89738067031,110,,446242.0,-13.72
